# 391 reported flooding locations from 3 BBMP layers. NOT a hazard model: no return period, depth or drainage. Absence of a nearby point is not evidence a location does not flood.
name,kind,source_layer,geometry_type,centroid_lng,centroid_lat,vertex_count
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.681111,13.036667,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.487117,13.036698,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.556706,13.036736,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.638056,13.039167,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.519926,13.039729,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.612222,13.041111,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.47808,13.04137,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.615556,13.0425,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.591389,13.0425,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.644722,13.042778,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.598889,13.043056,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.628056,13.043611,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.600278,13.043611,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.570833,13.046667,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.50074,13.04681,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.623611,13.047222,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.593333,13.047222,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.571667,13.055,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.614722,13.057778,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.51178,13.06068,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.50116,13.06087,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.53471,13.06407,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.51178,13.06634,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.50065,13.06724,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.562778,13.069167,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.593611,13.0925,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.601111,13.103056,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.593333,13.110278,1
Bhadrappa layout,Flood-prone location,Flood_Prone_Locations_Map,Point,77.57602,13.048408,1
Sampangiram Nagar,Flood-prone location,Flood_Prone_Locations_Map,Point,77.57468,12.993629,1
KEB Compound Maththikere,Flood-prone location,Flood_Prone_Locations_Map,Point,77.558617,13.036299,1
Gubbanna Layout,Flood-prone location,Flood_Prone_Locations_Map,Point,77.555646,12.979209,1
Minerva Mill,Flood-prone location,Flood_Prone_Locations_Map,Point,77.564464,12.979452,1
Binny Mill Tank Area,Flood-prone location,Flood_Prone_Locations_Map,Point,77.568083,12.968746,1
Binny Mill Tank Area,Flood-prone location,Flood_Prone_Locations_Map,Point,77.571703,12.97424,1
Kamakshipalya Tank Slum Area,Flood-prone location,Flood_Prone_Locations_Map,Point,77.527091,12.988683,1
Shivananda circle_Railway under pass,Flood-prone location,Flood_Prone_Locations_Map,Point,77.577829,12.987788,1
Okalipuram Junction,Flood-prone location,Flood_Prone_Locations_Map,Point,77.56893,12.982687,1
Mekhri circle,Flood-prone location,Flood_Prone_Locations_Map,Point,77.583793,13.016991,1
Railway underbridge near Kino theatre,Flood-prone location,Flood_Prone_Locations_Map,Point,77.574868,12.984507,1
Jagajeevan ram nagar,Flood-prone location,Flood_Prone_Locations_Map,Point,77.550679,12.965588,1
Padarayan pura,Flood-prone location,Flood_Prone_Locations_Map,Point,77.549606,12.964563,1
Cotton pete,Flood-prone location,Flood_Prone_Locations_Map,Point,77.565447,12.966685,1
City Market Area,Flood-prone location,Flood_Prone_Locations_Map,Point,77.584138,12.965265,1
Jayanagar 3rd Block LIC Colony,Flood-prone location,Flood_Prone_Locations_Map,Point,77.589531,12.929768,1
Krishnappa Garden behind Byrasandra Tank D/s,Flood-prone location,Flood_Prone_Locations_Map,Point,77.598476,12.929943,1
Wilson Garden Area up to Bannerghatta Road,Flood-prone location,Flood_Prone_Locations_Map,Point,77.597177,12.948034,1
